#T	V1	V3	V2	V4	I(V0)	I(V1DUMMY)	I(V2DUMMY)
1.000100010001000133e-04	-1.000000000000000000e+01	-4.829067898122169772e-03	-4.829067898122169772e-03	-4.829067898122169772e-03	-3.331723654133949240e-03	2.269434945931085492e-03	1.062288698097996285e-03
2.000200020002000265e-04	-1.000000000000000000e+01	-9.656969519794202095e-03	-9.656969519794202095e-03	-9.656969519794202095e-03	-3.330114353393412094e-03	2.268338755702769410e-03	1.061775587780926840e-03
2.208467770419381376e-04	-1.000000000000000000e+01	-1.066207174377844201e-02	-1.066207174377844201e-02	-1.066207174377844201e-02	-3.329779319518730643e-03	2.268110544085650063e-03	1.061668765322380543e-03
2.415767553396169906e-04	-1.000000000000000000e+01	-1.166240213047040584e-02	-1.166240213047040584e-02	-1.166240213047040584e-02	-3.329445875856520010e-03	2.267883415929170931e-03	1.061562450015627896e-03
2.830367119349746965e-04	-1.000000000000000000e+01	-1.366276240021787811e-02	-1.366276240021787811e-02	-1.366276240021787811e-02	-3.328779089299917313e-03	2.267429227846512550e-03	1.061349851339703654e-03
3.659566251256901083e-04	-1.000000000000000000e+01	-1.766228122604558692e-02	-1.766228122604558692e-02	-1.766228122604558692e-02	-3.327445916157994576e-03	2.266521124534059788e-03	1.060924781706214497e-03
5.317964515071209319e-04	-1.000000000000000000e+01	-2.565651442897634235e-02	-2.565651442897634235e-02	-2.565651442897634235e-02	-3.324781171956997863e-03	2.264706008774328063e-03	1.060075153056974813e-03
8.634761042699824708e-04	-1.000000000000000000e+01	-4.162578227015953369e-02	-4.162578227015953369e-02	-4.162578227015953369e-02	-3.319458082476623145e-03	2.261080136349279904e-03	1.058377936185659479e-03
1.526835409795705440e-03	-1.000000000000000000e+01	-7.348767725870276879e-02	-7.348767725870276879e-02	-7.348767725870276879e-02	-3.308837451013755225e-03	2.253845793009454958e-03	1.054991647830774834e-03
2.853554020847151595e-03	-1.000000000000000000e+01	-1.369061285646924475e-01	-1.369061285646924475e-01	-1.369061285646924475e-01	-3.287697967045111972e-03	2.239446434434190850e-03	1.048251522573957675e-03
5.506991242950043906e-03	-1.000000000000000000e+01	-2.625313991650158330e-01	-2.625313991650158330e-01	-2.625313991650158330e-01	-3.245822877044984584e-03	2.210922822137812837e-03	1.034900044544603305e-03
1.081386568715582766e-02	-1.000000000000000000e+01	-5.090120862231344301e-01	-5.090120862231344301e-01	-5.090120862231344301e-01	-3.163662647825631925e-03	2.154958607910898924e-03	1.008704029505664863e-03
2.081386568715582613e-02	-1.000000000000000000e+01	-9.567001950524155474e-01	-9.567001950524155474e-01	-9.567001950524155474e-01	-3.014433278415851528e-03	2.053309616550143529e-03	9.611236508089736948e-04
3.081386568715582808e-02	-1.000000000000000000e+01	-1.383270940072100830e+00	-1.383270940072100830e+00	-1.383270940072100830e+00	-2.872243029875975844e-03	1.956455388974954850e-03	9.157876296176989525e-04
4.081386568715583002e-02	-1.000000000000000000e+01	-1.789720423357434420e+00	-1.789720423357434420e+00	-1.789720423357434420e+00	-2.736759868980845247e-03	1.864169757080251944e-03	8.725901000108430509e-04
5.081386568715583196e-02	-1.000000000000000000e+01	-2.176997761036301604e+00	-2.176997761036301604e+00	-2.176997761036301604e+00	-2.607667422887909297e-03	1.776237221067893763e-03	8.314301897429702236e-04
6.081386568715583391e-02	-1.000000000000000000e+01	-2.546007299607520480e+00	-2.546007299607520480e+00	-2.546007299607520480e+00	-2.484664243564149895e-03	1.692452446224643062e-03	7.922117846934733070e-04
7.081386568715583585e-02	-1.000000000000000000e+01	-2.897610727715816292e+00	-2.897610727715816292e+00	-2.897610727715816292e+00	-2.367463100661404331e-03	1.612619783437030775e-03	7.548433044267186930e-04
8.081386568715583085e-02	-1.000000000000000000e+01	-3.232629088314768140e+00	-3.232629088314768140e+00	-3.232629088314768140e+00	-2.255790313995067065e-03	1.536552812323435137e-03	7.192374883389803224e-04
9.081386568715582586e-02	-1.000000000000000000e+01	-3.551844695916409389e+00	-3.551844695916409389e+00	-3.551844695916409389e+00	-2.149385111261206596e-03	1.464073905916537729e-03	6.853111918927833187e-04
1.008138656871558209e-01	-1.000000000000000000e+01	-3.856002963404522532e+00	-3.856002963404522532e+00	-3.856002963404522532e+00	-2.047999022298482505e-03	1.395013815879631719e-03	6.529851924628279252e-04
1.108138656871558159e-01	-1.000000000000000000e+01	-4.145814142677495262e+00	-4.145814142677495262e+00	-4.145814142677495262e+00	-1.951395295674178149e-03	1.329211277288193339e-03	6.221840043401326553e-04
1.208138656871558109e-01	-1.000000000000000000e+01	-4.421954983185385935e+00	-4.421954983185385935e+00	-4.421954983185385935e+00	-1.859348349038194648e-03	1.266512632053811219e-03	5.928357024624113713e-04
1.308138656871558059e-01	-1.000000000000000000e+01	-4.685070312234099532e+00	-4.685070312234099532e+00	-4.685070312234099532e+00	-1.771643239155309968e-03	1.206771470111191224e-03	5.648717544590130517e-04
1.408138656871558148e-01	-1.000000000000000000e+01	-4.935774540746923122e+00	-4.935774540746923122e+00	-4.935774540746923122e+00	-1.688075163184348882e-03	1.149848287530252184e-03	5.382268606183077857e-04
1.508138656871558236e-01	-1.000000000000000000e+01	-5.174653097999560636e+00	-5.174653097999560636e+00	-5.174653097999560636e+00	-1.608448977233489612e-03	1.095610160755024209e-03	5.128388014037796533e-04
1.608138656871558325e-01	-1.000000000000000000e+01	-5.402263798678999862e+00	-5.402263798678999862e+00	-5.402263798678999862e+00	-1.532578743873656618e-03	1.043930436208663579e-03	4.886482921627172517e-04
1.708138656871558414e-01	-1.000000000000000000e+01	-5.619138145458455469e+00	-5.619138145458455469e+00	-5.619138145458455469e+00	-1.460287294747191281e-03	9.946884345396814469e-04	4.655988446883407134e-04
1.808138656871558503e-01	-1.000000000000000000e+01	-5.825782570130114912e+00	-5.825782570130114912e+00	-5.825782570130114912e+00	-1.391405820056618170e-03	9.477691688188923493e-04	4.436366353119331266e-04
1.908138656871558592e-01	-1.000000000000000000e+01	-6.022679616193869379e+00	-6.022679616193869379e+00	-6.022679616193869379e+00	-1.325773471168719851e-03	9.030630760289154327e-04	4.227103792170958454e-04
2.008138656871558680e-01	-1.000000000000000000e+01	-6.210289065663567420e+00	-6.210289065663567420e+00	-6.210289065663567420e+00	-1.263236988212134131e-03	8.604657612192565018e-04	4.027712106825805495e-04
2.108138656871558769e-01	-1.000000000000000000e+01	-6.389049012722023413e+00	-6.389049012722023413e+00	-6.389049012722023413e+00	-1.203650338992668690e-03	8.198777537295964205e-04	3.837725689739958997e-04
2.208138656871558858e-01	-1.000000000000000000e+01	-6.559376886731923761e+00	-6.559376886731923761e+00	-6.559376886731923761e+00	-1.146874381189349167e-03	7.812042749119323809e-04	3.656700896180327355e-04
2.308138656871558947e-01	-1.000000000000000000e+01	-6.721670426991509295e+00	-6.721670426991509295e+00	-6.721670426991509295e+00	-1.092776534236173909e-03	7.443550168092499938e-04	3.484215008052275460e-04
2.408138656871559036e-01	-1.000000000000000000e+01	-6.876308611511198876e+00	-6.876308611511198876e+00	-6.876308611511198876e+00	-1.041230472929590214e-03	7.092439312738497287e-04	3.319865246794270102e-04
2.508138656871559125e-01	-1.000000000000000000e+01	-7.023652541980011321e+00	-7.023652541980011321e+00	-7.023652541980011321e+00	-9.921158292400065332e-04	6.757890290329844488e-04	3.163267832833450521e-04
2.608138656871559213e-01	-1.000000000000000000e+01	-7.164046286988273948e+00	-7.164046286988273948e+00	-7.164046286988273948e+00	-9.453179144372320878e-04	6.439121882324389239e-04	3.014057089407430568e-04
2.708138656871559302e-01	-1.000000000000000000e+01	-7.297817685475688876e+00	-7.297817685475688876e+00	-7.297817685475688876e+00	-9.007274480747800086e-04	6.135389720111658445e-04	2.871884588657741696e-04
2.808138656871559391e-01	-1.000000000000000000e+01	-7.425279112280888327e+00	-7.425279112280888327e+00	-7.425279112280888327e+00	-8.582403060063604648e-04	5.845984546808454668e-04	2.736418338002336416e-04
2.908138656871559480e-01	-1.000000000000000000e+01	-7.546728207580176928e+00	-7.546728207580176928e+00	-7.546728207580176928e+00	-8.177572740399510071e-04	5.570230561045176479e-04	2.607342004886834225e-04
3.008138656871559569e-01	-1.000000000000000000e+01	-7.662448571918781148e+00	-7.662448571918781148e+00	-7.662448571918781148e+00	-7.791838194603962651e-04	5.307483838875634964e-04	2.484354178103830003e-04
3.108138656871559657e-01	-1.000000000000000000e+01	-7.772710428457599185e+00	-7.772710428457599185e+00	-7.772710428457599185e+00	-7.424298670808098920e-04	5.057130830124846642e-04	2.367167663955946529e-04
3.208138656871559746e-01	-1.000000000000000000e+01	-7.877771253981897814e+00	-7.877771253981897814e+00	-7.877771253981897814e+00	-7.074095921060238141e-04	4.818586925664229866e-04	2.255508815618295648e-04
3.308138656871559835e-01	-1.000000000000000000e+01	-7.977876380145464630e+00	-7.977876380145464630e+00	-7.977876380145464630e+00	-6.740412165181884760e-04	4.591295092267569681e-04	2.149116894135357295e-04
3.408138656871559924e-01	-1.000000000000000000e+01	-8.073259566354160199e+00	-8.073259566354160199e+00	-8.073259566354160199e+00	-6.422468213152699888e-04	4.374724571861217533e-04	2.047743459558892766e-04
3.508138656871560013e-01	-1.000000000000000000e+01	-8.164143545626679099e+00	-8.164143545626679099e+00	-8.164143545626679099e+00	-6.119521613577839306e-04	4.168369642129901771e-04	1.951151790806310120e-04
3.608138656871560102e-01	-1.000000000000000000e+01	-8.250740544707159785e+00	-8.250740544707159785e+00	-8.250740544707159785e+00	-5.830864951976032131e-04	3.971748435584655681e-04	1.859116332883986936e-04
3.708138656871560190e-01	-1.000000000000000000e+01	-8.333252779644176655e+00	-8.333252779644176655e+00	-8.333252779644176655e+00	-5.555824166852847950e-04	3.784401814335222472e-04	1.771422170184915892e-04
3.808138656871560279e-01	-1.000000000000000000e+01	-8.411872927993359284e+00	-8.411872927993359284e+00	-8.411872927993359284e+00	-5.293757007688703470e-04	3.605892297939405759e-04	1.687864524630589697e-04
3.908138656871560368e-01	-1.000000000000000000e+01	-8.486784578746313201e+00	-8.486784578746313201e+00	-8.486784578746313201e+00	-5.044051503179054546e-04	3.435803041824925762e-04	1.608248277486115738e-04
4.008138656871560457e-01	-1.000000000000000000e+01	-8.558162661036471164e+00	-8.558162661036471164e+00	-8.558162661036471164e+00	-4.806124564211659432e-04	3.273736863899526315e-04	1.532387513730539843e-04
4.108138656871560546e-01	-1.000000000000000000e+01	-8.626173852622974536e+00	-8.626173852622974536e+00	-8.626173852622974536e+00	-4.579420590256846500e-04	3.119315317075560144e-04	1.460105087919385321e-04
4.208138656871560634e-01	-1.000000000000000000e+01	-8.690976969106454675e+00	-8.690976969106454675e+00	-8.690976969106454675e+00	-4.363410203978383413e-04	2.972177805543145535e-04	1.391232210525508598e-04
4.308138656871560723e-01	-1.000000000000000000e+01	-8.752723334785549980e+00	-8.752723334785549980e+00	-8.752723334785549980e+00	-4.157588983048263165e-04	2.831980742728997555e-04	1.325608053791875940e-04
4.408138656871560812e-01	-1.000000000000000000e+01	-8.811557136020224945e+00	-8.811557136020224945e+00	-8.811557136020224945e+00	-3.961476314265819872e-04	2.698396748973519422e-04	1.263079376176766237e-04
4.508138656871560901e-01	-1.000000000000000000e+01	-8.867615757926992970e+00	-8.867615757926992970e+00	-8.867615757926992970e+00	-3.774614239243455479e-04	2.571113887054314747e-04	1.203500164512831370e-04
4.608138656871560990e-01	-1.000000000000000000e+01	-8.921030105192279791e+00	-8.921030105192279791e+00	-8.921030105192279791e+00	-3.596566417025633469e-04	2.449834933768978715e-04	1.146731293046404453e-04
4.708138656871561079e-01	-1.000000000000000000e+01	-8.971924907753098921e+00	-8.971924907753098921e+00	-8.971924907753098921e+00	-3.426917073156435581e-04	2.334276685877581276e-04	1.092640198559456936e-04
